model,horizon,threshold_scale,recall,precision,n_positive,scenario,fold,seed
LSTM_Stability__fold0__seed42,45 min,1.2,0.9601593625498008,0.8515901060070671,251,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,60 min,0.8,0.0,0.0,5,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,60 min,0.9,0.6206896551724138,0.29508196721311475,29,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,60 min,1.0,0.8461538461538461,0.48427672955974843,91,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,60 min,1.1,0.9653179190751445,0.6958333333333333,173,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,60 min,1.2,0.9760956175298805,0.8333333333333334,251,LSTM_Stability,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,15 min,0.8,0.0,0.0,5,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,15 min,0.9,0.5806451612903226,0.2857142857142857,31,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,15 min,1.0,0.9021739130434783,0.5533333333333333,92,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,15 min,1.1,0.9534883720930233,0.7224669603524229,172,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,15 min,1.2,0.9561752988047809,0.8163265306122449,251,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,30 min,0.8,0.0,0.0,5,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,30 min,0.9,0.6,0.2647058823529412,30,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,30 min,1.0,0.9010989010989011,0.5616438356164384,91,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,30 min,1.1,0.9651162790697675,0.7094017094017094,172,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,30 min,1.2,0.9561752988047809,0.8108108108108109,251,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,45 min,0.8,0.0,0.0,5,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,45 min,0.9,0.5517241379310345,0.2857142857142857,29,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,45 min,1.0,0.8351648351648352,0.5757575757575758,91,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,45 min,1.1,0.9476744186046512,0.7244444444444444,172,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,45 min,1.2,0.9402390438247012,0.8458781362007168,251,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,60 min,0.8,0.0,0.0,5,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,60 min,0.9,0.5517241379310345,0.2807017543859649,29,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,60 min,1.0,0.8461538461538461,0.5746268656716418,91,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,60 min,1.1,0.9653179190751445,0.7136752136752137,173,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,60 min,1.2,0.9442231075697212,0.8464285714285714,251,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_GRU__fold0__seed42,15 min,0.8,0.0,0.0,5,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,15 min,0.9,0.45161290322580644,0.2545454545454545,31,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,15 min,1.0,0.9021739130434783,0.535483870967742,92,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,15 min,1.1,0.9593023255813954,0.6932773109243697,172,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,15 min,1.2,0.9561752988047809,0.8,251,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,30 min,0.8,0.0,0.0,5,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,30 min,0.9,0.5,0.2542372881355932,30,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,30 min,1.0,0.9230769230769231,0.5283018867924528,91,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,30 min,1.1,0.9709302325581395,0.6653386454183267,172,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,30 min,1.2,0.9601593625498008,0.8006644518272426,251,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,45 min,0.8,0.0,0.0,5,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,45 min,0.9,0.4482758620689655,0.2549019607843137,29,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,45 min,1.0,0.8351648351648352,0.5846153846153846,91,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,45 min,1.1,0.9244186046511628,0.7327188940092166,172,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,45 min,1.2,0.9442231075697212,0.8345070422535211,251,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,60 min,0.8,0.0,0.0,5,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,60 min,0.9,0.4482758620689655,0.28888888888888886,29,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,60 min,1.0,0.8131868131868132,0.5873015873015873,91,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,60 min,1.1,0.9421965317919075,0.7375565610859729,173,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,60 min,1.2,0.9442231075697212,0.8374558303886925,251,Full_Assessment_GRU,0,42
GRU_NBeats_lite__fold0__seed42,15 min,0.8,0.2,0.06666666666666667,5,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,15 min,0.9,0.7741935483870968,0.2727272727272727,31,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,15 min,1.0,0.9347826086956522,0.4075829383886256,92,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,15 min,1.1,0.9767441860465116,0.5936395759717314,172,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,15 min,1.2,0.9840637450199203,0.6861111111111111,251,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,30 min,0.8,0.2,0.027777777777777776,5,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,30 min,0.9,0.8333333333333334,0.1773049645390071,30,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,30 min,1.0,0.967032967032967,0.3876651982378855,91,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,30 min,1.1,0.9941860465116279,0.6063829787234043,172,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,30 min,1.2,0.9800796812749004,0.7522935779816514,251,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,45 min,0.8,0.4,0.07407407407407407,5,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,45 min,0.9,0.7241379310344828,0.18421052631578946,29,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,45 min,1.0,0.967032967032967,0.4131455399061033,91,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,45 min,1.1,0.9941860465116279,0.6309963099630996,172,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,45 min,1.2,0.9880478087649402,0.7402985074626866,251,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,60 min,0.8,0.4,0.06060606060606061,5,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,60 min,0.9,0.7931034482758621,0.18110236220472442,29,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,60 min,1.0,0.9120879120879121,0.43455497382198954,91,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,60 min,1.1,0.976878612716763,0.6653543307086615,173,GRU_NBeats_lite,0,42
