model,horizon_step,horizon,MAE,RMSE,MAPE,R2,scenario,fold,seed
GRU_NBeats_lite__fold0__seed7,4,60 min,0.4702030294002631,0.5607420515254989,9.649968065018927,0.5407135743637803,GRU_NBeats_lite,0,7
GRU_NBeats_lite__fold0__seed7,overall,overall,0.45848614929578246,0.5487053975352917,9.30081752191248,0.5610390151411031,GRU_NBeats_lite,0,7
GRU_NBeats_lite__fold0__seed123,1,15 min,0.5116006006094126,0.5774473837299154,10.393126764367471,0.5160215959595638,GRU_NBeats_lite,0,123
GRU_NBeats_lite__fold0__seed123,2,30 min,0.47546092495551473,0.5430523151035538,9.637381154173823,0.5707889327651601,GRU_NBeats_lite,0,123
GRU_NBeats_lite__fold0__seed123,3,45 min,0.4877547573921008,0.5552886867185464,9.834729207167554,0.5484640468720434,GRU_NBeats_lite,0,123
GRU_NBeats_lite__fold0__seed123,4,60 min,0.4787605194800939,0.5489144358397472,9.624849429143168,0.5598845015881881,GRU_NBeats_lite,0,123
GRU_NBeats_lite__fold0__seed123,overall,overall,0.48839420060928057,0.556328113927997,9.872521638713003,0.5487580452225531,GRU_NBeats_lite,0,123
GRU_NBeats_lite__fold0__seed2024,1,15 min,0.48792558338703257,0.5591558308363641,10.057425799521672,0.5461975218393073,GRU_NBeats_lite,0,2024
GRU_NBeats_lite__fold0__seed2024,2,30 min,0.45846442667643234,0.5440496742157636,9.494607849321945,0.5692109239566605,GRU_NBeats_lite,0,2024
GRU_NBeats_lite__fold0__seed2024,3,45 min,0.5116452818283668,0.5841934559014909,10.394758409787102,0.5002324418018846,GRU_NBeats_lite,0,2024
GRU_NBeats_lite__fold0__seed2024,4,60 min,0.4239310756096474,0.5012812838757377,8.762952141569096,0.6329541338738169,GRU_NBeats_lite,0,2024
GRU_NBeats_lite__fold0__seed2024,overall,overall,0.47049159187536976,0.5479986794360955,9.677436050049954,0.5621690273318404,GRU_NBeats_lite,0,2024
GRU_NBeats_lite__fold0__seed99,1,15 min,0.37459665530767194,0.4582394795934051,7.518114924406066,0.6952202185874513,GRU_NBeats_lite,0,99
GRU_NBeats_lite__fold0__seed99,2,30 min,0.3651263696474907,0.4699047184529147,7.289089175967634,0.6786286296704127,GRU_NBeats_lite,0,99
GRU_NBeats_lite__fold0__seed99,3,45 min,0.3636280417320056,0.45050260085895083,7.2596533921791595,0.7027996676315433,GRU_NBeats_lite,0,99
GRU_NBeats_lite__fold0__seed99,4,60 min,0.38543204160837025,0.49007677477960554,7.697057464919567,0.649178985437765,GRU_NBeats_lite,0,99
GRU_NBeats_lite__fold0__seed99,overall,overall,0.3721957770738846,0.4674188976821025,7.440978739368107,0.6814629228529878,GRU_NBeats_lite,0,99
CNN_GRU_Attention__fold0__seed42,1,15 min,0.33201080008042166,0.41851871329976104,6.9898832868086265,0.7457675925747993,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,2,30 min,0.3388987367947896,0.4296337507298284,7.186314965996443,0.7313515404979118,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,3,45 min,0.3202886440081474,0.40379737036480684,6.759534719317389,0.7612289560107587,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,4,60 min,0.3610244245040111,0.44635359235612304,7.513503049993604,0.708984965422995,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,overall,overall,0.3380556513468424,0.42486083570712213,7.112309005529014,0.7368272885313208,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed7,1,15 min,0.33436940942666465,0.43006669302929623,7.12884505949262,0.7315442156675926,CNN_GRU_Attention,0,7
CNN_GRU_Attention__fold0__seed7,2,30 min,0.33911959788738155,0.43349121564902976,7.200836917132919,0.7265057655880771,CNN_GRU_Attention,0,7
CNN_GRU_Attention__fold0__seed7,3,45 min,0.3303380348988068,0.42263579449663735,7.032752909924097,0.7384304182605508,CNN_GRU_Attention,0,7
CNN_GRU_Attention__fold0__seed7,4,60 min,0.3544042140887334,0.44531019521068793,7.4832665924988095,0.7103439299829644,CNN_GRU_Attention,0,7
CNN_GRU_Attention__fold0__seed7,overall,overall,0.3395578140753966,0.43295328248161297,7.211425369762112,0.7267063567321626,CNN_GRU_Attention,0,7
CNN_GRU_Attention__fold0__seed123,1,15 min,0.35323878443546786,0.4405003459185285,7.259116495290788,0.7183604416107242,CNN_GRU_Attention,0,123
CNN_GRU_Attention__fold0__seed123,2,30 min,0.3093354989198538,0.3990882456542133,6.487574883701873,0.768193587282047,CNN_GRU_Attention,0,123
CNN_GRU_Attention__fold0__seed123,3,45 min,0.35817639989119315,0.44447368150400884,7.368232338275228,0.7107010974404482,CNN_GRU_Attention,0,123
CNN_GRU_Attention__fold0__seed123,4,60 min,0.33790049869586264,0.42517479442525413,7.013667312749686,0.7359462264696159,CNN_GRU_Attention,0,123
CNN_GRU_Attention__fold0__seed123,overall,overall,0.33966279548559436,0.42768050047260314,7.032147757504394,0.7333225116156894,CNN_GRU_Attention,0,123
CNN_GRU_Attention__fold0__seed2024,1,15 min,0.3412290747349079,0.4226470781427415,7.191092269350971,0.7407272411150437,CNN_GRU_Attention,0,2024
CNN_GRU_Attention__fold0__seed2024,2,30 min,0.35045742086263804,0.429043753049092,7.36229852955382,0.7320888807826493,CNN_GRU_Attention,0,2024
CNN_GRU_Attention__fold0__seed2024,3,45 min,0.35825400352478026,0.4308841415083995,7.456855325017794,0.7281209734338867,CNN_GRU_Attention,0,2024
CNN_GRU_Attention__fold0__seed2024,4,60 min,0.3096295981407165,0.3866881849196046,6.524364509468758,0.7815866587419169,CNN_GRU_Attention,0,2024
CNN_GRU_Attention__fold0__seed2024,overall,overall,0.3398925243157607,0.4177014455484011,7.133652658347837,0.7456220790725929,CNN_GRU_Attention,0,2024
CNN_GRU_Attention__fold0__seed99,1,15 min,0.3003821873664856,0.3877047569851221,6.402744956605742,0.7818257928469381,CNN_GRU_Attention,0,99
CNN_GRU_Attention__fold0__seed99,2,30 min,0.30827917831371987,0.3948467933877217,6.563772747293258,0.7730946146290372,CNN_GRU_Attention,0,99
CNN_GRU_Attention__fold0__seed99,3,45 min,0.2901756213261531,0.3748441791064842,6.206434365084518,0.794242237836063,CNN_GRU_Attention,0,99
CNN_GRU_Attention__fold0__seed99,4,60 min,0.326770174637819,0.4121603749097015,6.926593483613017,0.7518639695989678,CNN_GRU_Attention,0,99
CNN_GRU_Attention__fold0__seed99,overall,overall,0.3064017904110444,0.3926204598888023,6.524886388149133,0.7752533061147664,CNN_GRU_Attention,0,99
Persistence_Baseline__fold1__seedNA,1,15 min,0.3282142857142857,0.4281784395106508,7.662920694044491,0.8055115584141169,Persistence_Baseline,1,NA
Persistence_Baseline__fold1__seedNA,2,30 min,0.34450772200772195,0.4554605416710706,8.0332161583302,0.7780778440901164,Persistence_Baseline,1,NA
Persistence_Baseline__fold1__seedNA,3,45 min,0.3622104247104247,0.4760382881002869,8.40252335520608,0.7559860058890844,Persistence_Baseline,1,NA
Persistence_Baseline__fold1__seedNA,4,60 min,0.3844208494208494,0.5092567830107627,8.900780444326607,0.7186477965339342,Persistence_Baseline,1,NA
Persistence_Baseline__fold1__seedNA,overall,overall,0.3548383204633204,0.4681709099946845,8.249860162976846,0.7648213648993436,Persistence_Baseline,1,NA
Raw_LSTM__fold1__seed42,1,15 min,0.31905162767093614,0.41355796643694775,7.69189094423348,0.8185667047080375,Raw_LSTM,1,42
Raw_LSTM__fold1__seed42,2,30 min,0.31857027033581237,0.4229465996624865,7.815659106402091,0.8086316018341095,Raw_LSTM,1,42
Raw_LSTM__fold1__seed42,3,45 min,0.30906535290383,0.43024258616758304,7.780542668477035,0.8006768439886873,Raw_LSTM,1,42
Raw_LSTM__fold1__seed42,4,60 min,0.31899816531472225,0.44111041316394234,8.000538202056926,0.7889082323820116,Raw_LSTM,1,42
Raw_LSTM__fold1__seed42,overall,overall,0.31642135405632515,0.4270834512490964,7.822157730292383,0.8042893305615275,Raw_LSTM,1,42
Raw_GRU__fold1__seed42,1,15 min,0.308466838262256,0.41160255697630077,7.102873385700905,0.8202783759772774,Raw_GRU,1,42
Raw_GRU__fold1__seed42,2,30 min,0.31724329942902085,0.4243641456759152,7.343840452138807,0.8073466731471284,Raw_GRU,1,42
Raw_GRU__fold1__seed42,3,45 min,0.31287854119157243,0.4252419310725016,7.3242929331519875,0.8052833327891957,Raw_GRU,1,42
Raw_GRU__fold1__seed42,4,60 min,0.3236621918917623,0.44055115146564555,7.5449753256016185,0.7894431583261461,Raw_GRU,1,42
Raw_GRU__fold1__seed42,overall,overall,0.3155627176936529,0.42556362921561286,7.328995524148328,0.8056797667451658,Raw_GRU,1,42
LSTM_Suitability__fold1__seed42,1,15 min,0.3193344218666489,0.4227919685329951,7.875321357482987,0.810374096192694,LSTM_Suitability,1,42
LSTM_Suitability__fold1__seed42,2,30 min,0.30799925392659017,0.4253376329761426,7.770195443645546,0.8064617695433649,LSTM_Suitability,1,42
LSTM_Suitability__fold1__seed42,3,45 min,0.3369315175936489,0.481148534977945,8.77503067494827,0.7507189302268908,LSTM_Suitability,1,42
LSTM_Suitability__fold1__seed42,4,60 min,0.32442882577424803,0.456074675723843,8.312040419317473,0.7743431131920406,LSTM_Suitability,1,42
LSTM_Suitability__fold1__seed42,overall,overall,0.32217350479028395,0.44698243064738696,8.183146973848569,0.7856270812861038,LSTM_Suitability,1,42
LSTM_Excursion__fold1__seed42,1,15 min,0.3579137768616547,0.462091551224112,8.29307695388563,0.7734832810241867,LSTM_Excursion,1,42
LSTM_Excursion__fold1__seed42,2,30 min,0.3699549267512951,0.5016108455296262,8.756456586162606,0.7308260781908071,LSTM_Excursion,1,42
LSTM_Excursion__fold1__seed42,3,45 min,0.36993423096001377,0.5196345203673332,8.84807762215139,0.7092451598932623,LSTM_Excursion,1,42
LSTM_Excursion__fold1__seed42,4,60 min,0.3890155807333103,0.5384645875847964,9.353755980884939,0.6854490724615381,LSTM_Excursion,1,42
LSTM_Excursion__fold1__seed42,overall,overall,0.37170462882656846,0.5062376390851202,8.81284178577114,0.7250220439465977,LSTM_Excursion,1,42
LSTM_Stability__fold1__seed42,1,15 min,0.3187326645943189,0.4064011269305557,7.497005711120703,0.8247919672370297,LSTM_Stability,1,42
LSTM_Stability__fold1__seed42,2,30 min,0.32373980982423295,0.4157020513840278,7.598361318642969,0.8151312599002843,LSTM_Stability,1,42
LSTM_Stability__fold1__seed42,3,45 min,0.31678143469063014,0.4217642855733555,7.6249164503968805,0.8084551114381171,LSTM_Stability,1,42
LSTM_Stability__fold1__seed42,4,60 min,0.3265010285285449,0.43376395988488153,7.931528881910372,0.795880918131348,LSTM_Stability,1,42
LSTM_Stability__fold1__seed42,overall,overall,0.3214387344094317,0.4195254333695189,7.662953090517729,0.8111549503994825,LSTM_Stability,1,42
Full_Assessment_Guided_LSTM__fold1__seed42,1,15 min,0.3662759991548236,0.5360865150139107,8.838689021011302,0.6951305045026734,Full_Assessment_Guided_LSTM,1,42
Full_Assessment_Guided_LSTM__fold1__seed42,2,30 min,0.397117180879512,0.6218984287046373,9.71885964529304,0.5862499443258722,Full_Assessment_Guided_LSTM,1,42
Full_Assessment_Guided_LSTM__fold1__seed42,3,45 min,0.42988359884520755,0.7191904747645653,10.919532531685071,0.4430466534848645,Full_Assessment_Guided_LSTM,1,42
Full_Assessment_Guided_LSTM__fold1__seed42,4,60 min,0.40859536801986246,0.6467148266201805,10.177206530121731,0.5462649679132656,Full_Assessment_Guided_LSTM,1,42
Full_Assessment_Guided_LSTM__fold1__seed42,overall,overall,0.4004680367248515,0.6343542805813459,9.913571932027788,0.5682297004908462,Full_Assessment_Guided_LSTM,1,42
Full_Assessment_GRU__fold1__seed42,1,15 min,0.32935504295190793,0.44754819952667174,7.86773497967548,0.7875171734582495,Full_Assessment_GRU,1,42
Full_Assessment_GRU__fold1__seed42,2,30 min,0.32813552754265923,0.4528007926320625,7.993684942969397,0.7806621899422066,Full_Assessment_GRU,1,42
Full_Assessment_GRU__fold1__seed42,3,45 min,0.34173730924783063,0.48368389411719326,8.347581180234377,0.7480848903640884,Full_Assessment_GRU,1,42
Full_Assessment_GRU__fold1__seed42,4,60 min,0.35541418540431724,0.4866773478587485,8.869041315511494,0.7430438943291985,Full_Assessment_GRU,1,42
Full_Assessment_GRU__fold1__seed42,overall,overall,0.33866051628667876,0.46800985541305307,8.269510604597684,0.7649831437751705,Full_Assessment_GRU,1,42
